Windows System Service Dispatch Table (SSDT)
KernelBase: 0xFFFFF804A9800000

=== KeServiceDescriptorTable ===
  RVA: 0x12018C0  PhysicalAddr: 0xFFFFF804AAA018C0
┌─────┬───────────────────────────────────────────────────────┬───────┬────────────────────┐
│ Id  │                         Name                          │ Index │    PhysicalAddr    │
│ 67  │ NtDuplicateToken                                      │ 0x42  │ 0xFFFFF804A9800000 │
│ 68  │ NtContinue                                            │ 0x43  │ 0xFFFFF804A9800000 │
│ 69  │ NtQueryDefaultUILanguage                              │ 0x44  │ 0xFFFFF804A9800000 │
│ 70  │ NtQueueApcThread                                      │ 0x45  │ 0xFFFFF804A9800000 │
│ 71  │ NtYieldExecution                                      │ 0x46  │ 0xFFFFF804A9800000 │
│ 72  │ NtAddAtom                                             │ 0x47  │ 0xFFFFF804A9800000 │
│ 73  │ NtCreateEvent                                         │ 0x48  │ 0xFFFFF804A9800000 │
│ 74  │ NtQueryVolumeInformationFile                          │ 0x49  │ 0xFFFFF804A9800000 │
│ 75  │ NtCreateSection                                       │ 0x4A  │ 0xFFFFF804A9800000 │
│ 76  │ NtFlushBuffersFile                                    │ 0x4B  │ 0xFFFFF804A9800000 │
│ 77  │ NtApphelpCacheControl                                 │ 0x4C  │ 0xFFFFF804A9800000 │
│ 78  │ NtCreateProcessEx                                     │ 0x4D  │ 0xFFFFF804A9800000 │
│ 79  │ NtCreateThread                                        │ 0x4E  │ 0xFFFFF804A9800000 │
│ 80  │ NtIsProcessInJob                                      │ 0x4F  │ 0xFFFFF804A9800000 │
│ 81  │ NtProtectVirtualMemory                                │ 0x50  │ 0xFFFFF804A9800000 │
│ 82  │ NtQuerySection                                        │ 0x51  │ 0xFFFFF804A9800000 │
│ 83  │ NtResumeThread                                        │ 0x52  │ 0xFFFFF804A9800000 │
│ 84  │ NtTerminateThread                                     │ 0x53  │ 0xFFFFF804A9800000 │
│ 85  │ NtReadRequestData                                     │ 0x54  │ 0xFFFFF804A9800000 │
│ 86  │ NtCreateFile                                          │ 0x55  │ 0xFFFFF804A9800000 │
│ 87  │ NtQueryEvent                                          │ 0x56  │ 0xFFFFF804A9800000 │
│ 88  │ NtWriteRequestData                                    │ 0x57  │ 0xFFFFF804A9800000 │
│ 89  │ NtOpenDirectoryObject                                 │ 0x58  │ 0xFFFFF804A9800000 │
│ 90  │ NtAccessCheckByTypeAndAuditAlarm                      │ 0x59  │ 0xFFFFF804A9800000 │
│ 91  │ NtWaitForMultipleObjects                              │ 0x5B  │ 0xFFFFF804A9800000 │
│ 92  │ NtQuerySystemTime                                     │ 0x5B  │ 0xFFFFF804A9800000 │
│ 93  │ NtSetInformationObject                                │ 0x5C  │ 0xFFFFF804A9800000 │
│ 94  │ NtCancelIoFile                                        │ 0x5D  │ 0xFFFFF804A9800000 │
│ 95  │ NtTraceEvent                                          │ 0x5E  │ 0xFFFFF804A9800000 │
│ 96  │ NtPowerInformation                                    │ 0x5F  │ 0xFFFFF804A9800000 │
│ 97  │ NtSetValueKey                                         │ 0x60  │ 0xFFFFF804A9800000 │
│ 98  │ NtCancelTimer                                         │ 0x61  │ 0xFFFFF804A9800000 │
│ 99  │ NtSetTimer                                            │ 0x62  │ 0xFFFFF804A9800000 │
│ 100 │ NtAccessCheckByType                                   │ 0x63  │ 0xFFFFF804A9800000 │
│ 101 │ NtAccessCheckByTypeResultList                         │ 0x64  │ 0xFFFFF804A9800000 │
│ 102 │ NtAccessCheckByTypeResultListAndAuditAlarm            │ 0x65  │ 0xFFFFF804A9800000 │
│ 103 │ NtAccessCheckByTypeResultListAndAuditAlarmByHandle    │ 0x66  │ 0xFFFFF804A9800000 │
│ 104 │ NtAcquireCrossVmMutant                                │ 0x67  │ 0xFFFFF804A9800000 │
│ 105 │ NtAcquireProcessActivityReference                     │ 0x68  │ 0xFFFFF804A9800000 │
│ 106 │ NtAddAtomEx                                           │ 0x69  │ 0xFFFFF804A9800000 │
│ 107 │ NtAddBootEntry                                        │ 0x6A  │ 0xFFFFF804A9800000 │
│ 108 │ NtAddDriverEntry                                      │ 0x6B  │ 0xFFFFF804A9800000 │
│ 109 │ NtAdjustGroupsToken                                   │ 0x6C  │ 0xFFFFF804A9800000 │
│ 110 │ NtAdjustTokenClaimsAndDeviceGroups                    │ 0x6D  │ 0xFFFFF804A9800000 │
│ 111 │ NtAlertMultipleThreadByThreadId                       │ 0x6E  │ 0xFFFFF804A9800000 │
│ 112 │ NtAlertResumeThread                                   │ 0x6F  │ 0xFFFFF804A9800000 │
